Frame,Time,Right Arm Down-Up,Right Arm Front-Back,Right Forearm Twist In-Out
0,0,-0.090004,-0.420005,1.449998
1,0.0333,-0.086831,-0.418119,1.448625
2,0.0667,-0.08312,-0.416547,1.44809
3,0.1,-0.079302,-0.415277,1.44752
4,0.1333,-0.075674,-0.414302,1.446382
5,0.1667,-0.071512,-0.413664,1.446054
6,0.2,-0.067287,-0.413326,1.445677
7,0.2333,-0.063009,-0.413271,1.445257
8,0.2667,-0.0587,-0.41348,1.444794
9,0.3,-0.054369,-0.413927,1.444296
10,0.3333,-0.050012,-0.414544,1.443769
11,0.3667,-0.046107,-0.415254,1.442371
12,0.4,-0.041787,-0.416078,1.441681
13,0.4333,-0.037483,-0.416916,1.440992
14,0.4667,-0.033243,-0.417868,1.440298
15,0.5,-0.029121,-0.418887,1.439607
16,0.5333,-0.025117,-0.419961,1.438931
17,0.5667,-0.021263,-0.421111,1.438283
18,0.6,-0.017729,-0.422528,1.437683
19,0.6333,-0.01483,-0.424625,1.437177
20,0.6667,-0.011889,-0.426316,1.436656
21,0.7,-0.009247,-0.428137,1.436164
22,0.7333,-0.006879,-0.430088,1.435686
23,0.7667,-0.004778,-0.432118,1.435221
24,0.8,-0.002948,-0.434198,1.434772
25,0.8333,-0.001403,-0.436305,1.434345
26,0.8667,-0.000168,-0.438423,1.43394
27,0.9,0.000746,-0.440586,1.43356
28,0.9333,0.001779,-0.442701,1.434034
29,0.9667,0.001912,-0.444761,1.433541
30,1,0.001676,-0.446783,1.433067
31,1.0333,0.001068,-0.448771,1.432614
32,1.0667,0.000079,-0.450725,1.432188
33,1.1,-0.001295,-0.452642,1.431792
34,1.1333,-0.003063,-0.454526,1.431423
35,1.1667,-0.00477,-0.456408,1.431979
36,1.2,-0.007178,-0.458254,1.431999
37,1.2333,-0.009957,-0.460071,1.43207
38,1.2667,-0.012639,-0.461877,1.433073
39,1.3,-0.015987,-0.463625,1.433443
40,1.3333,-0.019635,-0.465347,1.433878
41,1.3667,-0.023573,-0.4671,1.434381
42,1.4,-0.027375,-0.468767,1.435777
43,1.4333,-0.031724,-0.470324,1.436532
44,1.4667,-0.036264,-0.471807,1.437355
45,1.5,-0.040963,-0.473191,1.438242
46,1.5333,-0.045788,-0.474471,1.439191
47,1.5667,-0.050371,-0.475665,1.441008
48,1.6,-0.055324,-0.476717,1.442145
49,1.6333,-0.06031,-0.477633,1.443312
50,1.6667,-0.065299,-0.478438,1.444505
51,1.7,-0.070237,-0.479002,1.445685
52,1.7333,-0.075086,-0.479368,1.446851
53,1.7667,-0.079517,-0.47955,1.44879
54,1.8,-0.084069,-0.479491,1.449953
55,1.8333,-0.088422,-0.479193,1.451069
56,1.8667,-0.092524,-0.47866,1.452135
57,1.9,-0.096315,-0.477901,1.453169
58,1.9333,-0.099665,-0.476946,1.454219
59,1.9667,-0.10281,-0.475698,1.455108
60,2,-0.105623,-0.474201,1.455898
61,2.0333,-0.108109,-0.472458,1.456575
62,2.0667,-0.110258,-0.470473,1.457117
63,2.1,-0.112057,-0.468254,1.457525
64,2.1333,-0.113513,-0.465829,1.457799
65,2.1667,-0.114626,-0.463222,1.45795
66,2.2,-0.115393,-0.460467,1.457989
67,2.2333,-0.116103,-0.457581,1.457192
68,2.2667,-0.116169,-0.454644,1.457093
69,2.3,-0.115899,-0.451654,1.456907
70,2.3333,-0.11529,-0.448591,1.456638
71,2.3667,-0.114365,-0.44558,1.456307
72,2.4,-0.113112,-0.442613,1.45592
73,2.4333,-0.111849,-0.439688,1.454767
74,2.4667,-0.109931,-0.436869,1.454384
75,2.5,-0.107721,-0.434154,1.453962
76,2.5333,-0.105233,-0.431559,1.453508
77,2.5667,-0.102478,-0.429083,1.45302
78,2.6,-0.099814,-0.426675,1.451755
79,2.6333,-0.096549,-0.424335,1.45129
80,2.6667,-0.093209,-0.42214,1.450732
81,2.7,-0.090004,-0.420005,1.449998
